country_id,win,year,sf_qualify,top10_last,place_10y,place_20y,place_10y_range,place_20y_range
39,0,1980,0,0,55.0,55.0,4,4
40,0,1980,0,0,55.0,55.0,4,4
41,0,1980,0,0,55.0,55.0,4,4
42,0,1980,0,0,55.0,55.0,4,4
43,0,1980,0,0,55.0,55.0,4,4
44,0,1980,0,0,55.0,55.0,4,4
45,0,1980,0,0,55.0,55.0,4,4
46,0,1980,0,0,55.0,55.0,4,4
47,0,1980,0,0,55.0,55.0,4,4
48,0,1980,0,0,55.0,55.0,4,4
49,0,1980,0,0,55.0,55.0,4,4
50,0,1980,0,0,55.0,55.0,4,4
51,0,1980,0,0,55.0,55.0,4,4
52,0,1980,0,0,55.0,55.0,4,4
53,0,1980,0,0,55.0,55.0,4,4
0,0,1981,0,0,55.0,55.0,4,4
1,0,1981,0,0,55.0,55.0,4,4
2,0,1981,0,0,55.0,55.0,4,4
3,0,1981,0,1,55.0,55.0,4,4
4,0,1981,0,1,55.0,55.0,4,4
5,0,1981,0,0,55.0,55.0,4,4
6,0,1981,0,1,55.0,55.0,4,4
7,0,1981,0,1,55.0,55.0,4,4
8,0,1981,0,0,55.0,55.0,4,4
9,0,1981,0,0,55.0,55.0,4,4
10,0,1981,0,0,55.0,55.0,4,4
11,0,1981,0,1,55.0,55.0,4,4
12,0,1981,0,0,55.0,55.0,4,4
13,0,1981,0,1,55.0,55.0,4,4
14,0,1981,0,1,55.0,55.0,4,4
15,0,1981,0,1,55.0,55.0,4,4
16,0,1981,0,0,55.0,55.0,4,4
17,1,1981,0,1,55.0,55.0,4,4
18,0,1981,0,0,55.0,55.0,4,4
19,0,1981,0,1,55.0,55.0,4,4
20,0,1981,0,0,55.0,55.0,4,4
21,0,1981,0,0,55.0,55.0,4,4
22,0,1981,0,0,55.0,55.0,4,4
23,0,1981,0,0,55.0,55.0,4,4
24,0,1981,0,0,55.0,55.0,4,4
25,0,1981,0,0,55.0,55.0,4,4
26,0,1981,0,0,55.0,55.0,4,4
27,0,1981,0,0,55.0,55.0,4,4
28,0,1981,0,0,55.0,55.0,4,4
29,0,1981,0,0,55.0,55.0,4,4
30,0,1981,0,0,55.0,55.0,4,4
31,0,1981,0,0,55.0,55.0,4,4
32,0,1981,0,0,55.0,55.0,4,4
33,0,1981,0,0,55.0,55.0,4,4
34,0,1981,0,0,55.0,55.0,4,4
35,0,1981,0,0,55.0,55.0,4,4
36,0,1981,0,0,55.0,55.0,4,4
37,0,1981,0,0,55.0,55.0,4,4
38,0,1981,0,0,55.0,55.0,4,4
39,0,1981,0,0,55.0,55.0,4,4
40,0,1981,0,0,55.0,55.0,4,4
41,0,1981,0,0,55.0,55.0,4,4
42,0,1981,0,0,55.0,55.0,4,4
43,0,1981,0,0,55.0,55.0,4,4
44,0,1981,0,0,55.0,55.0,4,4
45,0,1981,0,0,55.0,55.0,4,4
46,0,1981,0,0,55.0,55.0,4,4
47,0,1981,0,0,55.0,55.0,4,4
48,0,1981,0,0,55.0,55.0,4,4
49,0,1981,0,0,55.0,55.0,4,4
50,0,1981,0,0,55.0,55.0,4,4
51,0,1981,0,0,55.0,55.0,4,4
52,0,1981,0,0,55.0,55.0,4,4
53,0,1981,0,0,55.0,55.0,4,4
0,0,1982,0,0,55.0,55.0,4,4
1,0,1982,0,0,55.0,55.0,4,4
2,0,1982,0,1,55.0,55.0,4,4
3,1,1982,0,1,55.0,55.0,4,4
4,0,1982,0,1,55.0,55.0,4,4
5,0,1982,0,1,55.0,55.0,4,4
6,0,1982,0,0,55.0,55.0,4,4
7,0,1982,0,0,55.0,55.0,4,4
8,0,1982,0,0,55.0,55.0,4,4
9,0,1982,0,0,55.0,55.0,4,4
10,0,1982,0,0,55.0,55.0,4,4
11,0,1982,0,0,55.0,55.0,4,4
12,0,1982,0,0,55.0,55.0,4,4
13,0,1982,0,1,55.0,55.0,4,4
14,0,1982,0,1,55.0,55.0,4,4
15,0,1982,0,1,55.0,55.0,4,4
16,0,1982,0,0,55.0,55.0,4,4
17,0,1982,0,1,55.0,55.0,4,4
18,0,1982,0,0,55.0,55.0,4,4
19,0,1982,0,0,55.0,55.0,4,4
20,0,1982,0,1,55.0,55.0,4,4
21,0,1982,0,0,55.0,55.0,4,4
22,0,1982,0,0,55.0,55.0,4,4
23,0,1982,0,1,55.0,55.0,4,4
24,0,1982,0,0,55.0,55.0,4,4
25,0,1982,0,0,55.0,55.0,4,4
26,0,1982,0,0,55.0,55.0,4,4
27,0,1982,0,0,55.0,55.0,4,4
28,0,1982,0,0,55.0,55.0,4,4
29,0,1982,0,0,55.0,55.0,4,4
30,0,1982,0,0,55.0,55.0,4,4
31,0,1982,0,0,55.0,55.0,4,4
32,0,1982,0,0,55.0,55.0,4,4
33,0,1982,0,0,55.0,55.0,4,4
34,0,1982,0,0,55.0,55.0,4,4
35,0,1982,0,0,55.0,55.0,4,4
36,0,1982,0,0,55.0,55.0,4,4
37,0,1982,0,0,55.0,55.0,4,4
38,0,1982,0,0,55.0,55.0,4,4
39,0,1982,0,0,55.0,55.0,4,4
40,0,1982,0,0,55.0,55.0,4,4
41,0,1982,0,0,55.0,55.0,4,4
42,0,1982,0,0,55.0,55.0,4,4
43,0,1982,0,0,55.0,55.0,4,4
44,0,1982,0,0,55.0,55.0,4,4
45,0,1982,0,0,55.0,55.0,4,4
46,0,1982,0,0,55.0,55.0,4,4
47,0,1982,0,0,55.0,55.0,4,4
48,0,1982,0,0,55.0,55.0,4,4
49,0,1982,0,0,55.0,55.0,4,4
50,0,1982,0,0,55.0,55.0,4,4
51,0,1982,0,0,55.0,55.0,4,4
52,0,1982,0,0,55.0,55.0,4,4
53,0,1982,0,0,55.0,55.0,4,4
0,0,1983,0,1,55.0,55.0,4,4
1,0,1983,0,0,55.0,55.0,4,4
2,0,1983,0,0,55.0,55.0,4,4
3,0,1983,0,1,55.0,55.0,4,4
4,0,1983,0,0,55.0,55.0,4,4
5,0,1983,0,1,55.0,55.0,4,4
6,0,1983,0,0,55.0,55.0,4,4
7,1,1983,0,1,55.0,55.0,4,4
8,0,1983,0,0,55.0,55.0,4,4
9,0,1983,0,0,55.0,55.0,4,4
10,0,1983,0,0,55.0,55.0,4,4
11,0,1983,0,0,55.0,55.0,4,4
12,0,1983,0,1,55.0,55.0,4,4
13,0,1983,0,1,55.0,55.0,4,4
14,0,1983,0,1,55.0,55.0,4,4
15,0,1983,0,0,55.0,55.0,4,4
16,0,1983,0,0,55.0,55.0,4,4
17,0,1983,0,1,55.0,55.0,4,4
18,0,1983,0,0,55.0,55.0,4,4
19,0,1983,0,1,55.0,55.0,4,4
20,0,1983,0,0,55.0,55.0,4,4
21,0,1983,0,0,55.0,55.0,4,4
22,0,1983,0,0,55.0,55.0,4,4
23,0,1983,0,1,55.0,55.0,4,4
24,0,1983,0,0,55.0,55.0,4,4
25,0,1983,0,0,55.0,55.0,4,4
26,0,1983,0,0,55.0,55.0,4,4
27,0,1983,0,0,55.0,55.0,4,4
28,0,1983,0,0,55.0,55.0,4,4
29,0,1983,0,0,55.0,55.0,4,4
30,0,1983,0,0,55.0,55.0,4,4
31,0,1983,0,0,55.0,55.0,4,4
32,0,1983,0,0,55.0,55.0,4,4
33,0,1983,0,0,55.0,55.0,4,4
34,0,1983,0,0,55.0,55.0,4,4
35,0,1983,0,0,55.0,55.0,4,4
36,0,1983,0,0,55.0,55.0,4,4
37,0,1983,0,0,55.0,55.0,4,4
38,0,1983,0,0,55.0,55.0,4,4
39,0,1983,0,0,55.0,55.0,4,4
40,0,1983,0,0,55.0,55.0,4,4
41,0,1983,0,0,55.0,55.0,4,4
42,0,1983,0,0,55.0,55.0,4,4
43,0,1983,0,0,55.0,55.0,4,4
44,0,1983,0,0,55.0,55.0,4,4
45,0,1983,0,0,55.0,55.0,4,4
46,0,1983,0,0,55.0,55.0,4,4
47,0,1983,0,0,55.0,55.0,4,4
48,0,1983,0,0,55.0,55.0,4,4
49,0,1983,0,0,55.0,55.0,4,4
50,0,1983,0,0,55.0,55.0,4,4
51,0,1983,0,0,55.0,55.0,4,4
52,0,1983,0,0,55.0,55.0,4,4
53,0,1983,0,0,55.0,55.0,4,4
0,0,1984,0,0,10.8,55.0,0,4
1,0,1984,0,0,13.3,55.0,0,4
2,0,1984,0,1,9.8,55.0,0,4
3,0,1984,0,1,7.3,55.0,0,4
4,0,1984,0,0,10.6,55.0,0,4
5,0,1984,0,1,15.1,55.0,1,4
6,0,1984,0,0,18.3,55.0,1,4
7,0,1984,0,1,9.2,55.0,0,4
8,0,1984,0,0,50.7,55.0,4,4
9,0,1984,0,0,31.5,55.0,2,4
10,0,1984,0,1,15.5,55.0,1,4
11,0,1984,0,0,13.1,55.0,0,4
12,0,1984,0,0,10.5,55.0,0,4
13,1,1984,0,1,14.4,55.0,0,4
14,0,1984,0,0,7.7,55.0,0,4
15,0,1984,0,1,9.8,55.0,0,4
16,0,1984,0,0,28.4,55.0,2,4
17,0,1984,0,1,4.7,55.0,0,4
18,0,1984,0,1,30.2,55.0,2,4
19,0,1984,0,1,17.4,55.0,1,4
20,0,1984,0,0,23.4,55.0,1,4
21,0,1984,0,0,25.1,55.0,2,4
22,0,1984,0,0,51.3,55.0,4,4
23,0,1984,0,0,37.2,55.0,3,4
24,0,1984,0,0,55.0,55.0,4,4
25,0,1984,0,0,55.0,55.0,4,4
26,0,1984,0,0,55.0,55.0,4,4
27,0,1984,0,0,55.0,55.0,4,4
28,0,1984,0,0,55.0,55.0,4,4
29,0,1984,0,0,55.0,55.0,4,4
30,0,1984,0,0,55.0,55.0,4,4
31,0,1984,0,0,55.0,55.0,4,4
32,0,1984,0,0,55.0,55.0,4,4
33,0,1984,0,0,55.0,55.0,4,4
34,0,1984,0,0,55.0,55.0,4,4
35,0,1984,0,0,55.0,55.0,4,4
36,0,1984,0,0,55.0,55.0,4,4
37,0,1984,0,0,55.0,55.0,4,4
38,0,1984,0,0,55.0,55.0,4,4
39,0,1984,0,0,55.0,55.0,4,4
40,0,1984,0,0,55.0,55.0,4,4
41,0,1984,0,0,55.0,55.0,4,4
42,0,1984,0,0,55.0,55.0,4,4
43,0,1984,0,0,55.0,55.0,4,4
44,0,1984,0,0,55.0,55.0,4,4
45,0,1984,0,0,55.0,55.0,4,4
46,0,1984,0,0,55.0,55.0,4,4
47,0,1984,0,0,55.0,55.0,4,4
48,0,1984,0,0,55.0,55.0,4,4
49,0,1984,0,0,55.0,55.0,4,4
50,0,1984,0,0,55.0,55.0,4,4
51,0,1984,0,0,55.0,55.0,4,4
52,0,1984,0,0,55.0,55.0,4,4
53,0,1984,0,0,55.0,55.0,4,4
0,0,1985,0,1,11.2,55.0,0,4
1,0,1985,0,1,13.5,55.0,0,4
2,0,1985,0,1,10.4,55.0,0,4
3,0,1985,0,0,5.8,55.0,0,4
4,0,1985,0,1,10.3,55.0,0,4
5,0,1985,0,0,14.5,55.0,0,4
6,0,1985,0,1,18.7,55.0,1,4
7,0,1985,0,1,10.0,55.0,0,4
8,0,1985,0,0,55.0,55.0,4,4
9,0,1985,0,0,35.7,55.0,3,4
10,1,1985,0,0,13.8,55.0,0,4
11,0,1985,0,0,13.3,55.0,0,4
12,0,1985,0,1,10.9,55.0,0,4
13,0,1985,0,1,13.9,55.0,0,4
14,0,1985,0,0,8.3,55.0,0,4
15,0,1985,0,0,15.2,55.0,1,4
16,0,1985,0,0,28.0,55.0,2,4
17,0,1985,0,1,4.9,55.0,0,4
18,0,1985,0,0,34.3,55.0,2,4
19,0,1985,0,0,12.7,55.0,0,4
20,0,1985,0,0,19.5,55.0,1,4
21,0,1985,0,1,20.7,55.0,1,4
22,0,1985,0,0,51.3,55.0,4,4
23,0,1985,0,0,33.4,55.0,2,4
24,0,1985,0,0,55.0,55.0,4,4
25,0,1985,0,0,55.0,55.0,4,4
26,0,1985,0,0,55.0,55.0,4,4
27,0,1985,0,0,55.0,55.0,4,4
28,0,1985,0,0,55.0,55.0,4,4
29,0,1985,0,0,55.0,55.0,4,4
30,0,1985,0,0,55.0,55.0,4,4
31,0,1985,0,0,55.0,55.0,4,4
32,0,1985,0,0,55.0,55.0,4,4
33,0,1985,0,0,55.0,55.0,4,4
34,0,1985,0,0,55.0,55.0,4,4
35,0,1985,0,0,55.0,55.0,4,4
36,0,1985,0,0,55.0,55.0,4,4
37,0,1985,0,0,55.0,55.0,4,4
38,0,1985,0,0,55.0,55.0,4,4
39,0,1985,0,0,55.0,55.0,4,4
40,0,1985,0,0,55.0,55.0,4,4
41,0,1985,0,0,55.0,55.0,4,4
42,0,1985,0,0,55.0,55.0,4,4
43,0,1985,0,0,55.0,55.0,4,4
44,0,1985,0,0,55.0,55.0,4,4
45,0,1985,0,0,55.0,55.0,4,4
46,0,1985,0,0,55.0,55.0,4,4
47,0,1985,0,0,55.0,55.0,4,4
48,0,1985,0,0,55.0,55.0,4,4
49,0,1985,0,0,55.0,55.0,4,4
50,0,1985,0,0,55.0,55.0,4,4
51,0,1985,0,0,55.0,55.0,4,4
52,0,1985,0,0,55.0,55.0,4,4
53,0,1985,0,0,55.0,55.0,4,4
0,1,1986,0,0,10.5,55.0,0,4
1,0,1986,0,1,13.9,55.0,0,4
2,0,1986,0,1,11.9,55.0,0,4
3,0,1986,0,1,5.1,55.0,0,4
4,0,1986,0,1,9.7,55.0,0,4
5,0,1986,0,1,15.8,55.0,1,4
6,0,1986,0,1,23.5,55.0,1,4
7,0,1986,0,0,8.9,55.0,0,4
