name
Belgium
Finland
France
Germany
Ireland
Israel
Italy
Luxembourg
Malta
Monaco
Norway
Portugal
Spain
Sweden
Switzerland
The Netherlands
Turkey
United Kingdom
Yugoslavia
Austria
Greece
Denmark
Morocco
Cyprus
Iceland
Bosnia & Herzegovina
Croatia
Slovenia
Estonia
Hungary
Lithuania
Poland
Romania
Russia
Slovakia
F.Y.R. Macedonia
Latvia
Ukraine
Albania
Andorra
Belarus
Serbia & Montenegro
Bulgaria
Moldova
Armenia
Czech Republic
Georgia
Montenegro
Serbia
Azerbaijan
San Marino
Australia
Macedonia
The Netherands
